time,longitude,latitude,Ktemp,year,month,day,Ftemp,season,monthly_avg_Ftemp,yearly_avg_Ftemp,seasonal_avg_Ftemp
1950-01-01 09:00:00,286,40.75,274.39734,1950,1,1,34.2452,Winter,39.9943,52.7761,35.5899
1950-01-02 09:00:00,286,40.75,277.07593,1950,1,2,39.0667,Winter,39.9943,52.7761,35.5899
1950-01-03 09:00:00,286,40.75,280.8009,1950,1,3,45.7716,Winter,39.9943,52.7761,35.5899
1950-01-04 09:00:00,286,40.75,287.1401,1950,1,4,57.1822,Winter,39.9943,52.7761,35.5899
1950-01-05 09:00:00,286,40.75,285.65262,1950,1,5,54.5047,Winter,39.9943,52.7761,35.5899
1950-01-06 09:00:00,286,40.75,281.72754,1950,1,6,47.4396,Winter,39.9943,52.7761,35.5899
1950-01-07 09:00:00,286,40.75,281.77194,1950,1,7,47.5195,Winter,39.9943,52.7761,35.5899
1950-01-08 09:00:00,286,40.75,270.4338,1950,1,8,27.1108,Winter,39.9943,52.7761,35.5899
1950-01-09 09:00:00,286,40.75,270.39838,1950,1,9,27.0471,Winter,39.9943,52.7761,35.5899
1950-01-10 09:00:00,286,40.75,277.31894,1950,1,10,39.5041,Winter,39.9943,52.7761,35.5899
1950-01-11 09:00:00,286,40.75,280.98553,1950,1,11,46.104,Winter,39.9943,52.7761,35.5899
1950-01-12 09:00:00,286,40.75,272.57898,1950,1,12,30.9722,Winter,39.9943,52.7761,35.5899
1950-01-13 09:00:00,286,40.75,277.24707,1950,1,13,39.3747,Winter,39.9943,52.7761,35.5899
1950-01-14 09:00:00,286,40.75,283.00296,1950,1,14,49.7353,Winter,39.9943,52.7761,35.5899
1950-01-15 09:00:00,286,40.75,276.9746,1950,1,15,38.8843,Winter,39.9943,52.7761,35.5899
1950-01-16 09:00:00,286,40.75,279.9566,1950,1,16,44.2519,Winter,39.9943,52.7761,35.5899
1950-01-17 09:00:00,286,40.75,275.2581,1950,1,17,35.7946,Winter,39.9943,52.7761,35.5899
1950-01-18 09:00:00,286,40.75,276.34338,1950,1,18,37.7481,Winter,39.9943,52.7761,35.5899
1950-01-19 09:00:00,286,40.75,273.3679,1950,1,19,32.3922,Winter,39.9943,52.7761,35.5899
1950-01-20 09:00:00,286,40.75,269.56607,1950,1,20,25.5489,Winter,39.9943,52.7761,35.5899
1950-01-21 09:00:00,286,40.75,271.04358,1950,1,21,28.2084,Winter,39.9943,52.7761,35.5899
1950-01-22 09:00:00,286,40.75,275.5021,1950,1,22,36.2338,Winter,39.9943,52.7761,35.5899
1950-01-23 09:00:00,286,40.75,277.90027,1950,1,23,40.5505,Winter,39.9943,52.7761,35.5899
1950-01-24 09:00:00,286,40.75,279.49652,1950,1,24,43.4237,Winter,39.9943,52.7761,35.5899
1950-01-25 09:00:00,286,40.75,277.64575,1950,1,25,40.0924,Winter,39.9943,52.7761,35.5899
1950-01-26 09:00:00,286,40.75,284.0683,1950,1,26,51.6529,Winter,39.9943,52.7761,35.5899
1950-01-27 09:00:00,286,40.75,281.77942,1950,1,27,47.533,Winter,39.9943,52.7761,35.5899
1950-01-28 09:00:00,286,40.75,272.31802,1950,1,28,30.5024,Winter,39.9943,52.7761,35.5899
